chalcopyrite1.jpg,chalcopyrite2.png,chalcopyrite3.png,pyrite1.png,pyrite2.png
24.0,194,60.0,9.0,68.0
18.0,22,409.0,9.0,27.0
9.0,9,15.0,9.0,31.0
9.0,26,319.0,9.0,38.0
9.0,75,9.0,21.0,14.0
12.0,83,21.0,20.0,46.0
15.0,208,16.0,179.0,9.0
43.0,131,167.0,12.0,18.0
9.0,510,188.0,125.0,142.0
15.0,60,56.0,15.0,9.0
12.0,168,18.0,93.0,83.0
15.0,152,41.0,18.0,73.0
27.0,16,21.0,42.0,108.0
49.0,397,181.0,21.0,33.0
9.0,1305,45.0,48.0,25.0
9.0,30,43.0,28.0,31.0
46.0,15,9.0,21.0,16.0
15.0,214,48.0,43.0,29.0
12.0,388,17.0,75.0,109.0
12.0,12,22.0,30.0,30.0
201.0,151,19.0,26.0,9.0
20.0,54,100.0,19.0,24.0
14.0,514,34.0,33.0,32.0
14.0,377,9.0,12.0,37.0
18.0,99,137.0,1113.0,59.0
14.0,976,70.0,72.0,89.0
31.0,88,66.0,27.0,9.0
19.0,26,184.0,25.0,220.0
12.0,39,9.0,9.0,26.0
18.0,31,69.0,22.0,182.0
59.0,27,33.0,200.0,9.0
9.0,15,25.0,15.0,145.0
44.0,56,140.0,9.0,9.0
12.0,164,48.0,36.0,31.0
29.0,64,9.0,18.0,9.0
9.0,99,9.0,34.0,35.0
24.0,47,186.0,51.0,24.0
15.0,60,68.0,9.0,73.0
12.0,28,9.0,25.0,9.0
22.0,47,50.0,25.0,25.0
15.0,32,47.0,9.0,18.0
9.0,117,9.0,75.0,17.0
18.0,45,12.0,21.0,32.0
9.0,355,223.0,9.0,9.0
9.0,59,23.0,9.0,47.0
9.0,71,42.0,34.0,12.0
9.0,93,18.0,23.0,9.0
9.0,71,24.0,45.0,9.0
27.0,77,15.0,9.0,15.0
9.0,56,52.0,377.0,15.0
54.0,168,9.0,37.0,12.0
9.0,278,46.0,35.0,9.0
35.0,65,108.0,72.0,51.0
32.0,39,26.0,15.0,15.0
12.0,89,86.0,24.0,39.0
22.0,12,58.0,30.0,9.0
33.0,12,31.0,64.0,47.0
40.0,110,1186.0,9.0,9.0
31.0,41,51.0,49.0,12.0
28.0,95,107.0,76.0,9.0
15.0,20,445.0,9.0,82.0
19.0,415,9.0,18.0,18.0
48.0,39,183.0,35.0,39.0
14.0,112,15.0,45.0,63.0
89.0,36,45.0,51.0,79.0
18.0,274,104.0,45.0,50.0
39.0,56,102.0,12.0,43.0
12.0,434,20.0,131.0,30.0
83.0,104,12.0,30.0,60.0
9.0,21,104.0,63.0,33.0
27.0,72,153.0,23.0,43.0
15.0,53,17.0,80.0,9.0
12.0,9,22.0,12.0,48.0
9.0,28,173.0,9.0,72.0
15.0,12,65.0,14.0,41.0
17.0,1097,134.0,12.0,37.0
9.0,91,9.0,12.0,9.0
9.0,170,44.0,402.0,32.0
9.0,248,31.0,12.0,298.0
42.0,9,118.0,12.0,18.0
9.0,51,9.0,17.0,22.0
9.0,636,12.0,35.0,74.0
9.0,39,15.0,12.0,34.0
14.0,227,136.0,44.0,9.0
9.0,59,9.0,30.0,9.0
9.0,116,61.0,89.0,15.0
81.0,97,9.0,9.0,15.0
27.0,36,341.0,18.0,56.0
50.0,111,162.0,22.0,23.0
9.0,66,9.0,17.0,129.0
12.0,15,88.0,12.0,30.0
37.0,47,82.0,32.0,41.0
15.0,47,9.0,9.0,20.0
12.0,51,109.0,663.0,9.0
9.0,33,131.0,15.0,18.0
9.0,9,20.0,9.0,9.0
18.0,704,9.0,46.0,9.0
880.0,103,60.0,68.0,9.0
29.0,9,15.0,22.0,9.0
18.0,48,22.0,17.0,12.0
9.0,152,9.0,60.0,24.0
9.0,12,18.0,38.0,225.0
15.0,135,9.0,9.0,16.0
67.0,51,47.0,9.0,29.0
19.0,138,9.0,33.0,28.0
9.0,82,99.0,15.0,127.0
12.0,12,21.0,31.0,27.0
9.0,183,34.0,10.0,15.0
9.0,88,53.0,18.0,9.0
69.0,75,102.0,85.0,9.0
12.0,19,12.0,30.0,103.0
12.0,105,18.0,18.0,40.0
22.0,26,92.0,9.0,15.0
31.0,95,16.0,23.0,46.0
22.0,182,44.0,9.0,37.0
9.0,139,9.0,15.0,126.0
64.0,9,9.0,12.0,9.0
9.0,15,500.0,9.0,12.0
36.0,15,21.0,9.0,44.0
18.0,9,40.0,46.0,96.0
9.0,90,12.0,107.0,9.0
34.0,88,164.0,9.0,42.0
9.0,59,24.0,12.0,9.0
41.0,154,9.0,24.0,80.0
9.0,265,35.0,12.0,201.0
12.0,93,29.0,9.0,15.0
9.0,65,27.0,9.0,84.0
9.0,14,48.0,19.0,18.0
12.0,58,12.0,30.0,19.0
54.0,253,33.0,12.0,9.0
14.0,25,216.0,9.0,9.0
21.0,9,54.0,29.0,52.0
32.0,9,169.0,21.0,45.0
15.0,49,14.0,205.0,98.0
15.0,78,19.0,15.0,12.0
18.0,271,160.0,86.0,161.0
9.0,9,24.0,9.0,15.0
9.0,366,126.0,9.0,21.0
18.0,78,83.0,61.0,33.0
12.0,228,12.0,14.0,58.0
12.0,34,81.0,15.0,9.0
9.0,139,14.0,51.0,9.0
16.0,17,15.0,15.0,126.0
19.0,57,31.0,34.0,45.0
15.0,109,38.0,9.0,86.0
9.0,54,73.0,41.0,9.0
40.0,30,9.0,31.0,15.0
12.0,85,12.0,26.0,9.0
49.0,9,12.0,19.0,20.0
12.0,45,9.0,228.0,39.0
9.0,43,9.0,80.0,12.0
40.0,12,15.0,434.0,15.0
27.0,32,61.0,101.0,60.0
9.0,40,61.0,34.0,56.0
21.0,83,9.0,26.0,169.0
19.0,62,51.0,25.0,27.0
9.0,348,39.0,12.0,42.0
27.0,235,14.0,23.0,72.0
12.0,22,47.0,12.0,15.0
9.0,9,15.0,18.0,136.0
9.0,28,38.0,9.0,42.0
9.0,264,141.0,18.0,165.0
12.0,93,109.0,12.0,9.0
24.0,304,9.0,32.0,47.0
27.0,88,9.0,47.0,321.0
35.0,343,34.0,106.0,71.0
9.0,43,39.0,137.0,83.0
12.0,166,44.0,14.0,55.0
9.0,36,10.0,24.0,61.0
9.0,20,26.0,16.0,57.0
9.0,172,18.0,25.0,22.0
37.0,129,18.0,104.0,9.0
235.0,50,610.0,36.0,14.0
15.0,226,15.0,9.0,9.0
64.0,154,9.0,66.0,22.0
19.0,204,9.0,9.0,32.0
9.0,115,32.0,17.0,66.0
25.0,23,106.0,35.0,43.0
9.0,47,9.0,12.0,39.0
9.0,71,24.0,48.0,9.0
9.0,180,9.0,16.0,9.0
9.0,139,157.0,38.0,40.0
21.0,9,9.0,9.0,28.0
28.0,686,169.0,15.0,43.0
15.0,74,12.0,21.0,15.0
12.0,37,14.0,18.0,17.0
73.0,15,62.0,41.0,28.0
28.0,115,15.0,24.0,34.0
22.0,15,9.0,24.0,24.0
246.0,61,26.0,14.0,9.0
9.0,12,20.0,44.0,31.0
31.0,590,9.0,9.0,144.0
39.0,499,241.0,42.0,279.0
71.0,33,6.0,31.0,41.0
15.0,46,9.0,21.0,36.0
16.0,9,12.0,9.0,15.0
9.0,77,55.0,9.0,9.0
12.0,142,86.0,19.0,26.0
9.0,33,134.0,126.0,12.0
9.0,110,18.0,15.0,9.0
27.0,12,60.0,18.0,28.0
20.0,2299,33.0,12.0,70.0
910.0,1868,9.0,39.0,22.0
20.0,77,9.0,58.0,30.0
226.0,44,25.0,90.0,9.0
15.0,22,23.0,35.0,12.0
21.0,56,6.0,18.0,15.0
9.0,56,83.0,29.0,12.0
40.0,62,18.0,9.0,34.0
76.0,23,31.0,21.0,115.0
27.0,31,42.0,9.0,34.0
12.0,50,81.0,18.0,9.0
12.0,484,124.0,18.0,29.0
399.0,9,28.0,9.0,37.0
9.0,123,167.0,9.0,25.0
22.0,772,87.0,9.0,20.0
46.0,745,12.0,40.0,9.0
38.0,29,9.0,229.0,60.0
9.0,93,96.0,12.0,164.0
27.0,9,74.0,221.0,20.0
9.0,64,12.0,21.0,43.0
14.0,74,64.0,102.0,12.0
9.0,216,43.0,79.0,9.0
18.0,76,110.0,77.0,9.0
15.0,62,18.0,9.0,9.0
9.0,166,26.0,28.0,22.0
17.0,68,12.0,23.0,22.0
18.0,52,17.0,19.0,9.0
19.0,56,25.0,108.0,9.0
12.0,80,18.0,303.0,36.0
9.0,136,9.0,12.0,36.0
25.0,273,9.0,544.0,9.0
16.0,62,12.0,33.0,22.0
87.0,9,126.0,18.0,15.0
32.0,31,18.0,9.0,77.0
42.0,67,24.0,9.0,28.0
6494.0,292,207.0,51.0,53.0
9.0,52,92.0,21.0,98.0
26.0,18,9.0,12.0,15.0
9.0,34,6.0,31.0,92.0
28.0,384,12.0,109.0,27.0
15.0,99,9.0,54.0,95.0
9.0,207,16.0,766.0,9.0
9.0,27,99.0,12.0,507.0
45.0,9,9.0,61.0,12.0
130.0,45,12.0,43.0,58.0
9.0,106,185.0,56.0,20.0
95.0,71,12.0,59.0,93.0
9.0,29,55.0,6.0,21.0
27.0,364,9.0,38.0,9.0
